[0.043s] Invoking command in '/home/teehee/ros2_ws/build/lab05': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/teehee/ros2_ws/install/tf2_pkg:/home/teehee/ros2_ws/install/pylab_exam1:/home/teehee/ros2_ws/install/pylab05:/home/teehee/ros2_ws/install/pylab04:/home/teehee/ros2_ws/install/labs_pkg:/home/teehee/ros2_ws/install/labex6:/home/teehee/ros2_ws/install/lab_exam2_pkg:/home/teehee/ros2_ws/install/example_pkg:/opt/ros/humble /usr/bin/cmake --build /home/teehee/ros2_ws/build/lab05 -- -j4 -l4
[0.069s] Invoked command in '/home/teehee/ros2_ws/build/lab05' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/teehee/ros2_ws/install/tf2_pkg:/home/teehee/ros2_ws/install/pylab_exam1:/home/teehee/ros2_ws/install/pylab05:/home/teehee/ros2_ws/install/pylab04:/home/teehee/ros2_ws/install/labs_pkg:/home/teehee/ros2_ws/install/labex6:/home/teehee/ros2_ws/install/lab_exam2_pkg:/home/teehee/ros2_ws/install/example_pkg:/opt/ros/humble /usr/bin/cmake --build /home/teehee/ros2_ws/build/lab05 -- -j4 -l4
[0.099s] Invoking command in '/home/teehee/ros2_ws/build/lab05': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/teehee/ros2_ws/install/tf2_pkg:/home/teehee/ros2_ws/install/pylab_exam1:/home/teehee/ros2_ws/install/pylab05:/home/teehee/ros2_ws/install/pylab04:/home/teehee/ros2_ws/install/labs_pkg:/home/teehee/ros2_ws/install/labex6:/home/teehee/ros2_ws/install/lab_exam2_pkg:/home/teehee/ros2_ws/install/example_pkg:/opt/ros/humble /usr/bin/cmake --install /home/teehee/ros2_ws/build/lab05
[0.104s] -- Install configuration: ""
[0.104s] -- Execute custom install script
[0.104s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/ament_index/resource_index/package_run_dependencies/lab05
[0.104s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/ament_index/resource_index/parent_prefix_path/lab05
[0.104s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/environment/ament_prefix_path.sh
[0.104s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/environment/ament_prefix_path.dsv
[0.104s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/environment/path.sh
[0.105s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/environment/path.dsv
[0.105s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/local_setup.bash
[0.105s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/local_setup.sh
[0.105s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/local_setup.zsh
[0.105s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/local_setup.dsv
[0.105s] -- Symlinking: /home/teehee/ros2_ws/install/lab05/share/lab05/package.dsv
[0.116s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/ament_index/resource_index/packages/lab05
[0.116s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/cmake/lab05Config.cmake
[0.116s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/cmake/lab05Config-version.cmake
[0.116s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/package.xml
[0.120s] -- Up-to-date symlink: /home/teehee/ros2_ws/install/lab05/share/lab05/description/box.sdf
